"RelativePath","Name","Extension","SizeMB","SizeBytes","CreationTime","LastWriteTime"
"\Karty Scenariusza\scenariusz 2\Akt 4 Wariant B.card","Akt 4 Wariant B.card",".card","10,34","10841076","02.02.2026 22:14:59","10.02.2026 20:35:56"
"\Karty Scenariusza\scenariusz 2\Akt 4a.png","Akt 4a.png",".png","8,38","8791474","02.02.2026 22:14:59","05.02.2026 12:55:16"
"\Karty Scenariusza\scenariusz 2\Akt 4b.png","Akt 4b.png",".png","7,75","8129246","02.02.2026 22:15:00","02.02.2026 22:15:00"
"\Karty Scenariusza\scenariusz 2\Barka Jadwiga.card","Barka Jadwiga.card",".card","2,64","2769839","05.02.2026 12:55:16","09.02.2026 19:11:49"
"\Karty Scenariusza\scenariusz 2\barka jadwiga.png","barka jadwiga.png",".png","0,14","145869","05.02.2026 12:55:16","05.02.2026 12:55:16"
"\Karty Scenariusza\scenariusz 2\Karta Scenariusza.card","Karta Scenariusza.card",".card","0","2317","02.02.2026 22:15:00","10.02.2026 20:35:56"
"\Karty Scenariusza\scenariusz 2\lewiatan.png","lewiatan.png",".png","2,4","2519429","02.02.2026 22:15:02","02.02.2026 22:15:02"
"\Karty Scenariusza\scenariusz 2\Pruskie Miny Rzeczne.png","Pruskie Miny Rzeczne.png",".png","7,74","8115695","02.02.2026 22:15:01","02.02.2026 22:15:01"
"\Karty Scenariusza\scenariusz 2\Tajemnica 1.card","Tajemnica 1.card",".card","0,08","86797","02.02.2026 22:15:02","10.02.2026 20:35:57"
"\Karty Scenariusza\scenariusz 2\tajemnica 1.png","tajemnica 1.png",".png","0,06","64204","02.02.2026 22:15:02","05.02.2026 12:55:16"
"\Karty Scenariusza\scenariusz 2\Tajemnica 2.card","Tajemnica 2.card",".card","2,31","2420877","02.02.2026 22:15:02","10.02.2026 20:35:57"
"\Karty Scenariusza\scenariusz 2\tajemnica 2.png","tajemnica 2.png",".png","1,73","1814417","02.02.2026 22:15:02","05.02.2026 12:55:16"
"\Karty Scenariusza\scenariusz 2\tajemnica 3, test.png","tajemnica 3, test.png",".png","2,58","2703169","05.02.2026 12:55:16","05.02.2026 12:55:16"
"\Karty Scenariusza\scenariusz 2\Tajemnica 3.card","Tajemnica 3.card",".card","3,44","3605504","02.02.2026 22:15:02","10.02.2026 20:35:57"
"\Karty Scenariusza\scenariusz 2\tajemnica 3.png","tajemnica 3.png",".png","14,19","14879089","02.02.2026 22:15:02","02.02.2026 22:15:02"
"\Karty Scenariusza\scenariusz 2\Toksyczny Kożuch.png","Toksyczny Kożuch.png",".png","15,13","15860241","02.02.2026 22:15:02","02.02.2026 22:15:02"
"\Karty Scenariusza\scenariusz 2\żyjący zator.png","żyjący zator.png",".png","16,05","16826205","02.02.2026 22:15:03","02.02.2026 22:15:03"
